SampleID,TimeTree_returned
11166.NZ.16957.A.kea,Nestor_notabilis
11166.NZ.16865.A.kea,Nestor_notabilis
11166.NZ.16978.A.kea,Nestor_notabilis
11166.NZ.16856.A.kea,Nestor_notabilis
10684.weampp10C03,Numenius_phaeopus
10684.weampp10F01,Numenius_phaeopus
10684.weampp11A06,Numenius_phaeopus
10684.weampp05D07,Numenius_phaeopus
10684.weampp07A11,Numenius_phaeopus
11815.PWW.3533.FecalFTA.2,Nycteris_thebaica
11815.PWW.3537.FecalFTA,Nycteris_thebaica
11815.PWW.3534.FecalFTA,Nycteris_thebaica
11815.PWW.3536.FecalFTA,Nycteris_thebaica
11815.PWW.3535.FecalFTA.1,Nycteris_thebaica
1056.Ory.afe.Colch.5,Orycteropus_afer
11166.FD.0087.aardvark,Orycteropus_afer
1056.Ory.afe.Colch.6,Orycteropus_afer
1056.Ory.afe.Cinci.2,Orycteropus_afer
1056.Ory.afe.Colch.2,Orycteropus_afer
11815.PWW.3328.FecalFTA,Otomops_martiensseni
11815.PWW.3325.FecalFTA,Otomops_martiensseni
11815.PWW.3344.FecalFTA,Otomops_martiensseni
11815.PWW.3334.FecalFTA,Otomops_martiensseni
11815.PWW.3347.FecalFTA,Otomops_martiensseni
11212.Ptr11,Pan_troglodytes
11212.Ptr4,Pan_troglodytes
11212.Ptr17,Pan_troglodytes
11212.Ptr13,Pan_troglodytes
11212.Ptr10,Pan_troglodytes
11166.FD.0271.lion,Panthera_leo
11166.ZU.18190.lion,Panthera_leo
11166.FD.0438.lion,Panthera_leo
11166.FD.0280.lion,Panthera_leo
11166.FD.0103.lion,Panthera_leo
11212.JB31,Papio_anubis
11212.JB24,Papio_anubis
11212.JB12,Papio_anubis
11212.JB28,Papio_anubis
11212.JB4,Papio_anubis
11212.JB17,Papio_hamadryas
11212.JB15,Papio_hamadryas
11212.JB19,Papio_hamadryas
11166.TS.086.baboon,Papio_hamadryas
11212.JB13,Papio_hamadryas
11166.fmnh.1318,Passer_domesticus
11166.fmnh.1322,Passer_domesticus
11166.fmnh.1323,Passer_domesticus
11166.fmnh.1315,Passer_domesticus
11166.fmnh.1320,Passer_domesticus
11166.TS.042.warthog,Phacochoerus_africanus
11166.TS.040.warthog,Phacochoerus_africanus
11166.TS.038.warthog,Phacochoerus_africanus
11166.TS.057.warthog,Phacochoerus_africanus
11166.ATL.24570.warthog,Phacochoerus_africanus
11166.fmnh.402,Phyllastrephus_cerviniventris
11166.fmnh.1192,Phyllastrephus_cerviniventris
11166.fmnh.411,Phyllastrephus_cerviniventris
11166.fmnh.398,Phyllastrephus_cerviniventris
11166.fmnh.1190,Phyllastrephus_cerviniventris
11212.RC2036,Piliocolobus_badius
11212.RC2141,Piliocolobus_badius
11212.RC2138,Piliocolobus_badius
11212.RC2071,Piliocolobus_badius
11212.RC2137,Piliocolobus_badius
10684.weampp04A10,Plectrophenax_nivalis
10684.weampp16B02,Plectrophenax_nivalis
10684.weampp12F07,Plectrophenax_nivalis
10684.weampp14H12,Plectrophenax_nivalis
10684.weampp14D01,Plectrophenax_nivalis
11166.fmnh.1288,Ploceus_ocularis
11166.fmnh.1249,Ploceus_ocularis
11166.fmnh.1087,Ploceus_ocularis
11166.fmnh.2603,Ploceus_ocularis
11166.fmnh.2843,Ploceus_ocularis
10684.weampp11G07,Pluvialis_fulva
10684.weampp12B04,Pluvialis_fulva
10684.weampp04B10,Pluvialis_fulva
10684.weampp12G01,Pluvialis_fulva
10684.weampp01C01,Pluvialis_fulva
10684.weampp14D03,Pluvialis_squatarola
10684.weampp11H10,Pluvialis_squatarola
10684.weampp14C11,Pluvialis_squatarola
10684.weampp10A02,Pluvialis_squatarola
10684.weampp15D09,Pluvialis_squatarola
11166.JCK.10313.FecalFTA,Praomys_jacksoni
11166.JCK.10308.FecalFTA,Praomys_jacksoni
11166.JCK.10325.FecalFTA,Praomys_jacksoni
11166.JCK.10318.FecalFTA,Praomys_jacksoni
11166.JCK.10285.FecalFTA,Praomys_jacksoni
11212.PVPam,Propithecus_verreauxi
11212.PVLou,Propithecus_verreauxi
11212.PVPet,Propithecus_verreauxi
11212.PVAbb,Propithecus_verreauxi
11212.PVQui,Propithecus_verreauxi
11166.AR.M32.flyingsquirrel,Pteromys_volans
11166.AR.M37.flyingsquirrel,Pteromys_volans
11166.AR.M6.flyingsquirrel,Pteromys_volans
11166.AR.M60.flyingsquirrel,Pteromys_volans
11166.AR.M42.flyingsquirrel,Pteromys_volans
1734.LD.Ptepar2,Pteronotus_parnellii
1734.LD.NBS1051E,Pteronotus_parnellii
1734.LD.Ptepar1,Pteronotus_parnellii
1734.BD.NBS1051,Pteronotus_parnellii
1734.LD.NBS1051F,Pteronotus_parnellii
10684.weampp01C11,Pycnonotus_goiavier
10684.weampp03F05,Pycnonotus_goiavier
