,r,p
node757,0.068176880795311,0.8928928928928929
node749,0.0788767067207082,0.46146146146146144
node748,0.1009016600999079,0.2912912912912913
node764,0.33390120124427225,0.0990990990990991
node775,0.19367191874839004,0.007007007007007007
node780,0.24372480567063343,0.001001001001001001
node804,0.517592247852949,0.014014014014014014
node802,0.2822276496611693,0.03303303303303303
node813,0.034897366223265024,0.5825825825825826
node828,0.06405487934008258,0.2022022022022022
node818,0.022943431000669215,0.7717717717717718
node857,0.1931923275406991,0.4864864864864865
node855,0.24386022967728604,0.3173173173173173
node837,0.011764059539346628,0.8728728728728729
node915,0.2721350076026073,0.19019019019019018
node918,0.03996292110316962,0.7077077077077077
node933,0.07438870689802222,0.5785785785785785
node940,0.23227131760279615,0.06806806806806807
node997,0.000372720262552154,1.0
node959,0.1424069712343131,0.3663663663663664
node957,0.08959713251553944,0.3073073073073073
node955,0.12419914277269224,0.21521521521521522
node1031,-0.14981312022493695,1.0
node1030,0.06049055210721222,0.6566566566566566
node1037,0.0697810766311603,0.4644644644644645
node1029,0.30781205336958856,0.13013013013013014
node1028,0.20633990450359935,0.0
node1043,0.15691942325382272,0.0
node1019,0.12495189224251202,0.009009009009009009
node1051,0.10655901559565185,0.02702702702702703
node1056,0.13329960139755645,0.0
node1050,0.06501887285299539,0.0
node1049,0.02274980096091652,0.9019019019019019
node1087,0.06602780899424658,0.5975975975975976
node1118,0.037270067633669614,0.9229229229229229
node1116,0.0018638836784187437,0.9769769769769769
node1046,0.08015753943262238,0.3283283283283283
node1018,0.05249951905180453,0.5245245245245245
node1000,0.0641723881119568,0.0
node954,0.05640107662451706,0.004004004004004004
node1125,0.05250029380579566,0.02902902902902903
node1132,0.03587775144110259,0.035035035035035036
node1130,0.14043121352974267,0.0
node1163,0.6070244442393761,0.04004004004004004
node1191,0.26404688926464825,0.15815815815815815
node1190,0.23366318682340811,0.13613613613613615
node1180,0.22635460976705507,0.015015015015015015
node1199,0.19288110508502557,0.05405405405405406
node1179,0.2632061335181619,0.03203203203203203
node1228,-0.05612001455109847,1.0
node1150,-0.026421654417243826,1.0
node1243,0.09286026401366687,0.6376376376376376
node1149,-0.07337662651629487,1.0
node1246,-0.13039402629245098,1.0
node1148,-0.0998788992220845,1.0
node1303,0.13071365470894736,0.3983983983983984
node1307,0.16622174977431461,0.23723723723723725
node1321,0.11728093295870765,0.2172172172172172
node1320,0.17763085848903518,0.05205205205205205
node1319,0.14077963528421766,0.07607607607607608
node1334,0.11286528658421066,0.01701701701701702
node1364,-0.08164445328994008,1.0
node1343,-0.14372145046496324,1.0
node1420,0.2941963309567039,0.19119119119119118
node1402,0.276754124835866,0.13813813813813813
node1428,0.21160962152317336,0.0970970970970971
node1427,0.21876740558062321,0.08208208208208208
node1425,-0.12208443218353153,1.0
node1471,-0.0760488213480384,1.0
node1467,0.06831167530112624,0.6116116116116116
node1482,0.0025363949313669198,0.9819819819819819
node1466,-0.006531141550984338,1.0
node1490,0.044401923517489186,0.6666666666666666
node1486,0.3026592215601464,0.10810810810810811
node1494,0.2238994017546344,0.003003003003003003
node1493,0.23560069301587105,0.0
node1509,0.2790335440178636,0.1971971971971972
node1512,0.4494848140073537,0.035035035035035036
node1508,0.16903851042089338,0.001001001001001001
node1460,0.22709897509947205,0.003003003003003003
node1459,0.16478561189960755,0.0
node1558,-0.24798296032914063,1.0
node1552,0.025817548164095927,0.9029029029029029
node1572,-0.09669621429127842,1.0
node1569,-0.032360779985177286,1.0
node1566,0.041859289725983136,0.7097097097097097
node1542,0.04878694273736268,0.6656656656656657
node1584,0.17884617746369658,0.17217217217217218
node1587,0.11108158307692152,0.3033033033033033
node1583,0.154295575929138,0.0
node1593,0.1480774231771882,0.0
node1609,0.1504545596457094,0.0
node1608,0.14980139881811988,0.0
node1647,0.1308764007008488,0.42542542542542544
node1597,0.1462602132410021,0.0
node1656,0.13869632715809035,0.0
node1659,0.1392246708429829,0.0
node2678,0.2338875605127842,0.0
