,r,p
node748,0.022321847399246763,0.8398398398398398
node764,0.43896103896103894,0.05405405405405406
node775,0.04530005888954322,0.5145145145145145
node780,0.21965811965811968,0.005005005005005005
node804,0.20519480519480515,0.4624624624624625
node802,0.22806307616434193,0.06406406406406406
node813,-0.05267664512947532,1.0
node828,0.06611451193014427,0.4094094094094094
node818,-0.0720582974201603,1.0
node857,0.6103896103896104,0.07207207207207207
node855,0.1603603603603604,0.31431431431431434
node837,-0.0830810698735227,1.0
node915,0.04025974025974024,0.8758758758758759
node918,-0.053886693017127785,1.0
node933,0.12009874183787228,0.3783783783783784
node940,0.24521044992743105,0.05305305305305305
node997,0.057400257400257414,0.7587587587587588
node959,0.21949354992833253,0.14414414414414414
node957,0.036553615863960685,0.7367367367367368
node955,0.07388406686453028,0.5525525525525525
node1031,-0.2320744389709907,1.0
node1030,0.11251646903820813,0.4894894894894895
node1037,0.11579167101555161,0.1781781781781782
node1029,0.3331342454337106,0.06806806806806807
node1028,0.1191190659322587,0.002002002002002002
node1043,0.0032272484850383917,0.92992992992993
node1019,-0.03281448143944559,1.0
node1051,-0.060072258533310496,1.0
node1056,0.06756884206692539,0.24324324324324326
node1050,-0.019740502310323607,1.0
node1049,0.08571428571428572,0.7007007007007007
node1087,0.35211623819218757,0.05405405405405406
node1118,0.24805194805194802,0.5465465465465466
node1116,0.12459333324585459,0.3923923923923924
node1046,0.19868669561323238,0.15015015015015015
node1018,0.06880152965853799,0.5005005005005005
node1000,0.033967614511560974,0.3793793793793794
node954,0.01925909008254869,0.5495495495495496
node1125,0.009603745785657106,0.8018018018018018
node1132,0.0207261164875371,0.3963963963963964
node1130,0.12235891379585792,0.02002002002002002
node1163,-0.04707170224411602,1.0
node1191,0.18007662835249044,0.3683683683683684
node1190,0.19444734370107505,0.3953953953953954
node1180,0.1975243518919463,0.0890890890890891
node1199,0.16758893280632411,0.10810810810810811
node1179,0.21551535490185803,0.0920920920920921
node1228,0.0273672687465791,0.924924924924925
node1150,-0.00303030303030306,1.0
node1243,-0.011292504963391032,1.0
node1149,-0.11820353559483993,1.0
node1246,-0.17065104706614137,1.0
node1148,-0.14026668518647123,1.0
node1303,0.19466089466089465,0.15815815815815815
node1307,0.16376161152280555,0.25925925925925924
node1321,0.14838231943495103,0.22722722722722724
node1320,0.1776071942508978,0.14914914914914915
node1319,0.0030302079022845032,0.977977977977978
node1334,0.042889920291428206,0.5085085085085085
node1364,0.02857142857142858,0.8788788788788788
node1343,-0.23243243243243242,1.0
node1420,0.20497835497835495,0.3283283283283283
node1402,0.2766099572069721,0.14814814814814814
node1428,0.07513477410428887,0.42242242242242245
node1427,0.0051096993821451745,0.9419419419419419
node1425,0.0051948051948051965,0.9409409409409409
node1471,-0.11168831168831166,1.0
node1467,0.23689064558629777,0.21921921921921922
node1482,-0.009613090978483861,1.0
node1466,-0.018528942677549492,1.0
node1490,0.08272601223827458,0.4864864864864865
node1486,0.41558441558441545,0.0940940940940941
node1494,0.25362330053812776,0.0
node1493,0.25787955978703403,0.0
node1509,0.32238642583470173,0.0920920920920921
node1512,0.4046332046332047,0.12912912912912913
node1508,0.1377912090806904,0.011011011011011011
node1460,0.23308069878269083,0.007007007007007007
node1459,0.0726128038094103,0.002002002002002002
node1558,-0.3831168831168831,1.0
node1552,0.2628056628056628,0.4364364364364364
node1572,-0.08759594835544199,1.0
node1569,-0.037880986937590705,1.0
node1566,0.07959543914889558,0.5355355355355356
node1542,0.037399648854757196,0.7617617617617618
node1584,0.128499772001824,0.4004004004004004
node1587,0.09579484216491294,0.2852852852852853
node1583,0.047267129987596815,0.025025025025025027
node1593,-0.010533815117482708,1.0
node1609,0.12919714987711647,0.0
node1608,0.12118337150717427,0.0
node1647,0.20013175230566527,0.23623623623623624
node1597,0.1031543196488524,0.001001001001001001
node1656,0.06741165968568268,0.001001001001001001
node1659,0.0798837340062374,0.001001001001001001
node2678,0.20458585689162775,0.0
