#Sample	Metric	Value
11166.SFM.18277.manatee	Weighted NSTI	0.11261449844839584
11166.FD.0277.monkey	Weighted NSTI	0.056562685946143165
11166.TS.151.zebra	Weighted NSTI	0.5097535195151828
11166.ZU.18236.gecko	Weighted NSTI	0.043937322698389104
11166.FD.0024.elephant	Weighted NSTI	0.2934979327656898
11166.TS.056b.chat	Weighted NSTI	0.08165816648369584
11166.TS.123.pangolin	Weighted NSTI	0.058801055616641604
11166.TS.043.chat	Weighted NSTI	0.022732314669728193
11166.FD.0139.loris	Weighted NSTI	0.08595390379628512
11166.ZU.18239.elephant	Weighted NSTI	0.3773539541414983
11166.TS.056.chat	Weighted NSTI	0.006425703851786138
11166.TS.085.porcupine	Weighted NSTI	0.1728270933947704
11166.TS.207.wilddog	Weighted NSTI	0.11613181852172551
11166.FD.hippo.antelope	Weighted NSTI	0.20391776626897734
11166.TS.086.baboon	Weighted NSTI	0.12063020410505121
11166.FD.0125.wolf	Weighted NSTI	0.11369755129229447
11166.FD.0428.springbok	Weighted NSTI	0.21917514815041472
11166.TS.150.zebra	Weighted NSTI	0.4625867354901076
11166.FD.0259.monkey	Weighted NSTI	0.031648388279022555
11166.ZU.18195.wolf	Weighted NSTI	0.05980444634119131
11166.FD.0425.lutung	Weighted NSTI	0.20039480829535977
11166.TS.115.pangolin	Weighted NSTI	0.1401530343049441
11166.FD.0013.addax	Weighted NSTI	0.21009966703735566
11166.FD.0020.antelope	Weighted NSTI	0.21326042093214204
11166.ZU.18242.sloth	Weighted NSTI	0.1762464370082376
11166.TS.182.giraffe	Weighted NSTI	0.17686141026663715
11166.TS.166.giraffe	Weighted NSTI	0.21522731385897745
11166.FD.0282.otter	Weighted NSTI	0.07557028866726297
11166.FD.0174.antelope	Weighted NSTI	0.19362026786299644
11166.TS.129.pangolin	Weighted NSTI	0.065969520902221
11166.TS.161.antelope	Weighted NSTI	0.216500177113726
11166.TS.042.warthog	Weighted NSTI	0.21788106674914443
11166.TS.152.eland	Weighted NSTI	0.20980493910492687
11166.FD.0458.elephant	Weighted NSTI	0.3736264279413683
11166.TS.114.pangolin	Weighted NSTI	0.134272996665646
