SampleID	deblurred_seqs	pd_5k	shannon_5k	sample_type	preservative	sex	healthy	captive_wild	LIFE_STAGE	dataset	collector	country	Common_name	Species_name	date_collected	individual_ID	animal_ID	group_individual_ID	group_ID	Corrected_Species_name	flight_status	flight_type	query_name	ET.BodyMass.Value	ET.Diet.5Cat	ET.Diet.Fruit	ET.Diet.Inv	ET.Diet.Nect	ET.Diet.PlantO	ET.Diet.Scav	ET.Diet.Seed	ET.Diet.Vect	ET.Diet.Vend	ET.Diet.Vfish	ET.Diet.Vunk	Taxonomy_Class	Taxonomy_Family	Taxonomy_Genus	Taxonomy_Kingdom	Taxonomy_Order	Taxonomy_Phylum	Taxonomy_Species	Taxonomy_Subspecies	TimeTree_name	eltontraits_name	TimeTree_returned	LAV.ln_mass.estimate	LAV.ln_silen.estimate	LAV.ln_lilen.estimate	LAV.ln_stomas.estimate	LAV.ln_caelen.estimate	LAV.ln_sivol.estimate	LAV.ln_nsa.estimate	LAV.ln_mass.imputed	LAV.ln_silen.imputed	LAV.ln_lilen.imputed	LAV.ln_stomas.imputed	LAV.ln_caelen.imputed	LAV.ln_sivol.imputed	LAV.ln_nsa.imputed	pd_10k	shannon_10k	Winker Corrected Species name	migratory	Citation for migratory status	Migration Notes
11166.ATL.24594.orangutan	115692	43.29364015	6.554274075	fecal	none	unknown	unknown	captive		Atlanta	Zoo Atlanta	USA	Bornean orangutan	Pongo pygmaeus pygmaeus	10/8/15			atl.borneanorangutan.1	atl.borneanorangutan	Pongo pygmaeus pygmaeus	flightless	flightless	Pongo pygmaeus pygmaeus	37000.0		80.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	Mammalia	Hominidae	Pongo	Metazoa	Primates	Chordata	Pongo pygmaeus	Pongo pygmaeus pygmaeus	Pongo pygmaeus pygmaeus		Pongo_pygmaeus_pygmaeus															51.23560761	6.664011234				
11166.ATL.24556.pigeon	96412	29.10017732	5.654137085	fecal	none	M	unknown	captive		Atlanta	Zoo Atlanta	USA	Bruces green pigeon	Treron waalia	10/5/15		15B007 or 15B008	atl.greenpigeon.1	atl.greenpigeon	Treron waalia	flighted	strong	Treron waalia	254.0	FruiNect	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Aves	Columbidae	Treron	Metazoa	Columbiformes	Chordata	Treron waalia		Treron waalia		Treron_waalia	5.566014758211581	4.09987187028002	1.0026378992240201	0.0375664605963444	0.7096020587709241	2.31419995840695	4.62202573692037	True	True	True	True	True	True	True	35.53790802	5.620637635	Treron waalia	no?	HBW Alive	Perhaps partially nomadic.
11166.ATL.24488.tortoise	128296	58.02480991	7.25766193	fecal	none	F	unknown	captive		Atlanta	Zoo Atlanta	USA	Burmese star tortoise	Geochelone platynota	10/7/15			atl.startortoise.1	atl.startortoise	Geochelone platynota	flightless	flightless	Geochelone platynota													Chelonia	Testudinidae	Geochelone	Metazoa	Testudines	Chordata	Geochelone platynota		Geochelone platynota		Geochelone_platynota															70.47388686	7.297335926000001				
11166.ATL.24510.flamingo	78773	13.38568009	1.785944115	fecal	none	unknown	unknown	captive		Atlanta	Zoo Atlanta	USA	Chilean Flamingo	Phoenicopterus chilensis	10/6/15			atl.flamingo.1	atl.flamingo	Phoenicopterus chilensis	flighted	strong	Phoenicopterus chilensis	2277.0	Invertebrate	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Aves	Phoenicopteridae	Phoenicopterus	Metazoa	Phoenicopteriformes	Chordata	Phoenicopterus chilensis		Phoenicopterus chilensis		Phoenicopterus_chilensis	7.21394669873942	5.133487994357379	2.01436827026942	3.25905754406492	2.55954776110481	3.566941673584	5.8309087713473895	True	True	True	True	True	True	True	18.48469783	1.92423584	Phoenicopterus chilensis	partial?	HBW Alive	
11166.ATL.24574.chinchilla	83017	40.77737337	6.206196829	fecal	none	F	unknown	captive		Atlanta	Zoo Atlanta	USA	Chinchilla	Chinchilla lanigera	10/5/15			atl.chinchilla.1	atl.chinchilla	Chinchilla lanigera	flightless	flightless	Chinchilla lanigera	417.0		0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	Mammalia	Chinchillidae	Chinchilla	Metazoa	Rodentia	Chordata	Chinchilla lanigera		Chinchilla lanigera		Chinchilla_lanigera	5.9775130197646495	4.54590959756447	2.16730663747432	3.0937277783865804	2.80744652985496	3.0961202551336098	5.10879747964241	True	True	True	True	True	True	True	49.93050339	6.275647445				
11166.ATL.24546.ferret	79591	49.02956267	7.222320882000001	fecal	none	F	unknown	captive		Atlanta	Zoo Atlanta	USA	Domestic polecat	Mustela putorius furo	10/5/15		13M005 or 13M006	atl.polecat.1	atl.polecat	Mustela putorius furo	flightless	flightless	Mustela putorius furo	915.37		0.0	10.0	0.0	0.0	0.0	0.0	20.0	50.0	20.0	0.0	Mammalia	Mustelidae	Mustela	Metazoa	Carnivora	Chordata	Mustela putorius	Mustela putorius furo	Mustela putorius furo		Mustela_putorius															54.75390753	7.295647098				
11166.ATL.24991.drill	60704	41.39519052	7.154133537000001	fecal	none	unknown	unknown	captive		Atlanta	Zoo Atlanta	USA	Drill	Mandrillus leucophaeus	10/6/15		961009 or 891006	atl.drill.2	atl.drill	Mandrillus leucophaeus	flightless	flightless	Mandrillus leucophaeus	14999.96		40.0	10.0	0.0	10.0	0.0	30.0	0.0	0.0	0.0	10.0	Mammalia	Cercopithecidae	Mandrillus	Metazoa	Primates	Chordata	Mandrillus leucophaeus		Mandrillus leucophaeus		Mandrillus_leucophaeus	9.53738270891366	5.93299972562324	2.1115789831044	4.429131420829941	2.8512572546494104	6.2801137083963	7.5286897700630995	True	True	True	True	True	True	True	47.98623293	7.159632732				
11166.ATL.24062.rhinoceros	54403	67.78666003	7.18509337	fecal	none	unknown	unknown	captive		Atlanta	Zoo Atlanta	USA	Eastern black rhinoceros	Diceros bicornis michaeli	10/6/15		13M018 or B01024	atl.blackrhino.1	atl.blackrhino	Diceros bicornis michaeli	flightless	flightless	Diceros bicornis michaeli	1180510.9		0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	Mammalia	Rhinocerotidae	Diceros	Metazoa	Perissodactyla	Chordata	Diceros bicornis	Diceros bicornis michaeli	Diceros bicornis michaeli		Diceros_bicornis_michaeli															82.87779242	7.300385738999999				
11166.ATL.25152.tamarin	95216	15.69157583	4.188893347	fecal	none	unknown	unknown	captive		Atlanta	Zoo Atlanta	USA	Geoffroys tamarin	Saguinus geoffroyi	10/7/15			atl.geoffroystamarin.1	atl.geoffroystamarin	Saguinus geoffroyi	flightless	flightless	Saguinus geoffroyi	486.5		30.0	40.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Mammalia	Cebidae	Saguinus	Metazoa	Primates	Chordata	Saguinus geoffroyi		Saguinus geoffroyi		Saguinus_geoffroyi	6.04	4.283185052830779	2.8095556363569396	3.4770295298097302	2.12252721854456	3.66	5.21	False	True	True	True	True	False	False	17.54794396	4.262664621				
11166.ATL.25121.giraffe	73002	56.20096168	7.238871358	fecal	none	M	unknown	captive		Atlanta	Zoo Atlanta	USA	Giraffe	Giraffa camelopardalis reticulata	10/7/15			atl.giraffe.1	atl.giraffe	Giraffa camelopardalis reticulata	flightless	flightless	Giraffa camelopardalis reticulata	899994.8		0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	Mammalia	Giraffidae	Giraffa	Metazoa	Cetartiodactyla	Chordata	Giraffa camelopardalis	Giraffa camelopardalis reticulata	Giraffa camelopardalis reticulata		Giraffa_camelopardalis_reticulata															68.02218802	7.324642814				
