DATASET_MULTIBAR
SEPARATOR TAB
DATASET_LABEL	Diet Barchart
COLOR	#00FF00
FIELD_COLORS	#a6cee3	#cab2d6	#1f78b4	#33a02c	#6a3d9a	#b2df8a	#fb9a99	#e31a1c	#ff7f00	#fdbf6f
FIELD_LABELS	Fruit	Invertebrates	Nectar	Plants	Scavenging	Seeds	Meat (Ectotherms)	Meat (Endotherms)	Meat (Fish)	Meat (Unknown)
LEGEND_TITLE	Dataset legend
LEGEND_SHAPES	1	1	1	1	1	1	1	1	1	1
LEGEND_COLORS	#a6cee3	#cab2d6	#1f78b4	#33a02c	#6a3d9a	#b2df8a	#fb9a99	#e31a1c	#ff7f00	#fdbf6f
LEGEND_LABELS	Fruit	Invertebrates	Nectar	Plants	Scavenging	Seeds	Meat (Ectotherms)	Meat (Endotherms)	Meat (Fish)	Meat (Unknown)
MARGIN	0
WIDTH	200
DATA
Cacatua_leadbeateri	0.0	20.0	0.0	0.0	0.0	80.0	0.0	0.0	0.0	0.0
Cacatua_moluccensis	50.0	0.0	0.0	0.0	0.0	50.0	0.0	0.0	0.0	0.0
Cacomantis_merulinus	20.0	80.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cairina_moschata	0.0	30.0	0.0	30.0	0.0	20.0	10.0	0.0	10.0	0.0
Calcarius_lapponicus	0.0	50.0	0.0	0.0	0.0	50.0	0.0	0.0	0.0	0.0
Calcarius_ornatus	0.0	40.0	0.0	0.0	0.0	60.0	0.0	0.0	0.0	0.0
Calidris_mauri	0.0	90.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0
Calidris_ptilocnemis	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Calidris_pugnax	0.0	50.0	0.0	20.0	0.0	10.0	10.0	0.0	10.0	0.0
Calidris_pusilla	0.0	80.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0
Calidris_ruficollis	0.0	60.0	0.0	0.0	0.0	40.0	0.0	0.0	0.0	0.0
Callimico_goeldii	50.0	40.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0
Callithrix_argentata	60.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0
Callithrix_geoffroyi	30.0	20.0	40.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0
Callonetta_leucophrys	0.0	0.0	0.0	60.0	0.0	40.0	0.0	0.0	0.0	0.0
Callorhinus_ursinus	0.0	40.0	0.0	0.0	0.0	0.0	0.0	0.0	60.0	0.0
Callosciurus_prevostii	20.0	20.0	0.0	30.0	0.0	20.0	0.0	0.0	0.0	10.0
Calyptomena_viridis	70.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Camaroptera_brachyura	20.0	80.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Camaroptera_brevicaudata	20.0	80.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Camelus_dromedarius	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0
Canis_lupus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0
Canis_mesomelas	0.0	10.0	0.0	30.0	30.0	0.0	0.0	30.0	0.0	0.0
Capra_hircus	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0
Caprimulgus_macrurus	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Caprimulgus_pectoralis	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Caracal_caracal	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0
Caracara_cheriway	0.0	20.0	0.0	0.0	60.0	0.0	20.0	0.0	0.0	0.0
Cardinalis_cardinalis	10.0	20.0	0.0	70.0	0.0	0.0	0.0	0.0	0.0	0.0
Cariama_cristata	10.0	60.0	0.0	10.0	0.0	0.0	10.0	10.0	0.0	0.0
Carollia_brevicauda	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Carollia_castanea	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Carollia_perspicillata	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Carollia_sowelli	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Casuarius_casuarius	80.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0
Cathartes_aura	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0
Catharus_ustulatus	40.0	60.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Centropus_senegalensis	0.0	40.0	0.0	0.0	0.0	0.0	30.0	30.0	0.0	0.0
Centropus_superciliosus	0.0	50.0	0.0	0.0	0.0	0.0	20.0	30.0	0.0	0.0
Centropus_unirufus	0.0	80.0	0.0	0.0	0.0	0.0	10.0	10.0	0.0	0.0
Cephalophus_silvicultor	30.0	0.0	0.0	60.0	0.0	0.0	0.0	10.0	0.0	0.0
Cepphus_columba	0.0	40.0	0.0	0.0	0.0	0.0	0.0	0.0	60.0	0.0
Ceratotherium_simum	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0
Cercocebus_chrysogaster	70.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0
Cercomela_familiaris	10.0	80.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0
Cercopithecus_ascanius	50.0	20.0	0.0	10.0	0.0	10.0	0.0	0.0	0.0	10.0
Cercopithecus_cephus	50.0	20.0	0.0	10.0	0.0	10.0	0.0	0.0	0.0	10.0
Cercopithecus_neglectus	50.0	20.0	0.0	10.0	0.0	10.0	0.0	0.0	0.0	10.0
Cercopithecus_wolfi_wolfi	70.0	0.0	0.0	10.0	0.0	20.0	0.0	0.0	0.0	0.0
Cerorhinca_monocerata	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	80.0	0.0
Certhia_americana	0.0	70.0	0.0	10.0	0.0	20.0	0.0	0.0	0.0	0.0
Cervus_nippon	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0
Ceyx_erithaca	0.0	80.0	0.0	0.0	0.0	0.0	10.0	0.0	10.0	0.0
Ceyx_pictus	0.0	80.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0
Chaerephon_jobimena	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Chaetophractus_vellerosus	0.0	50.0	0.0	30.0	0.0	0.0	10.0	10.0	0.0	0.0
Chaetura_vauxi	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Chalcophaps_indica	40.0	20.0	0.0	0.0	0.0	40.0	0.0	0.0	0.0	0.0
Charadrius_bicinctus	0.0	80.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0
Charadrius_mongolus	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Charadrius_vociferus	0.0	90.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0
Chauna_torquata	0.0	0.0	0.0	80.0	0.0	20.0	0.0	0.0	0.0	0.0
Chinchilla_lanigera	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0
Chionis_alba	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0
Chiroxiphia_linearis	80.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Chlamyphorus_truncatus	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Chloephaga_picta	0.0	0.0	0.0	80.0	0.0	20.0	0.0	0.0	0.0	0.0
Chloroceryle_aenea	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	80.0	0.0
Chloropsis_palawanensis	30.0	70.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Choeroniscus_minor	40.0	30.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Choloepus_didactylus	30.0	0.0	0.0	70.0	0.0	0.0	0.0	0.0	0.0	0.0
Choloepus_hoffmanni	30.0	0.0	0.0	70.0	0.0	0.0	0.0	0.0	0.0	0.0
Chondestes_grammacus	0.0	30.0	0.0	0.0	0.0	70.0	0.0	0.0	0.0	0.0
Chondrohierax_uncinatus	0.0	80.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0
Chordeiles_minor	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
