DATASET_COLORSTRIP

SEPARATOR SPACE

COLOR #8ab2df

DATASET_LABEL categorical_colorstrip

Melursus_ursinus #FFFFFF
Mephitis_mephitis #FFFFFF
Merganetta_armata #000000
Mergellus_albellus #000000
Mergus_serrator #000000
Merops_apiaster #000000
Merops_boehmi #000000
Merops_pusillus #000000
Merops_viridis #000000
Metriopelia_melanoptera #000000
Microcebus_murinus #FFFFFF
Microhierax_erythrogenys #000000
Micronycteris_brachyotis #000000
Micronycteris_microtis #000000
Micropteropus_pusillus #000000
Mimus_gilvus #000000
Mimus_polyglottos #000000
Miniopterus_africanus #000000
Miniopterus_inflatus #000000
Miniopterus_minor #000000
Miniopterus_natalensis #000000
Mionectes_oleagineus #000000
Molossus_molossus #000000
Molothrus_ater #000000
Momotus_momota #000000
Morelia_viridis #FFFFFF
Mormoops_megalophylla #000000
Morus_bassanus #000000
Motacilla_flaviventris #000000
Mungos_mungo #FFFFFF
Muntiacus_reevesi #FFFFFF
Mus_bufo #FFFFFF
Muscicapa_adusta #000000
Muscicapa_caerulescens #000000
Muscicapa_griseisticta #000000
Mustela_nigripes #FFFFFF
Mustela_putorius #FFFFFF
Myadestes_melanops #000000
Myiarchus_crinitus #000000
Myiarchus_tuberculifer #000000
Myiobius_sulphureipygius #000000
Myiodynastes_maculatus #000000
Myonycteris_angolensis #000000
Myotis_elegans #000000
Myotis_lucifugus #000000
Myotis_nigricans #000000
Myotis_simus #000000
Myotis_tricolor #000000
Myotis_volans #000000
Myrmeciza_exsul #000000
Myrmecocichla_formicivora #000000
Myrmecophaga_tridactyla #FFFFFF
Mystacina_tuberculata #000000
Nanger_granti #FFFFFF
Nasalis_larvatus #FFFFFF
Necrosyrtes_monachus #000000
Neophoca_cinerea #FFFFFF
Neoromicia_nanus #000000
Nephrurus_amyae #FFFFFF
Nerodia_sipedon #FFFFFF
Nestor_meridionalis #000000
Nestor_notabilis #000000
Netta_peposaca #000000
Ninox_novaeseelandiae #000000
Ninox_scutulata #000000
Noctilio_leporinus #000000
Notharchus_macrorhynchos #000000
Nothura_maculosa #000000
Numenius_madagascariensis #000000
Numenius_phaeopus #000000
Numenius_tahitiensis #000000
Numida_meleagris #000000
Nyctereutes_procyonoides #FFFFFF
Nycteris_arge #000000
Nycteris_thebaica #000000
Nycticebus_pygmaeus #FFFFFF
Nystalus_maculatus #000000
Octodon_degus #FFFFFF
Odocoileus_virginianus #FFFFFF
Oenanthe_oenanthe #000000
Okapia_johnstoni #FFFFFF
Onychoprion_aleuticus #000000
Onychorhynchus_coronatus #000000
Orthotomus_samarensis #000000
Orycteropus_afer #FFFFFF
Oryctolagus_cuniculus #FFFFFF
Oryx_beisa #FFFFFF
Oryx_dammah #FFFFFF
Oryx_gazella #FFFFFF
Oryx_leucoryx #FFFFFF
Otocyon_megalotis #FFFFFF
Otomops_martiensseni #000000
Otomys_tropicalis #FFFFFF
Ovis_aries #FFFFFF
Ovis_canadensis #FFFFFF
Oxyura_jamaicensis #000000
Pachycephala_philippinensis #000000
Pachyramphus_cinnamomeus #000000
Pan_troglodytes #FFFFFF
Pandion_haliaetus #000000
Panthera_leo #FFFFFF
Panthera_onca #FFFFFF
Panthera_tigris #FFFFFF
Panthera_uncia #FFFFFF
Papio_anubis #FFFFFF
Papio_hamadryas #FFFFFF
Papio_papio #FFFFFF
Parabuteo_unicinctus #000000
Paradisaea_raggiana #000000
Parahyaena_brunnea #FFFFFF
Parkesia_noveboracensis #000000
Paroaria_coronata #000000
Passer_domesticus #000000
Passer_griseus #000000
Pavo_cristatus #000000
Pedostibes_hosii #FFFFFF
Pelecanus_occidentalis #000000
Peropteryx_kappleri #000000
Phacochoerus_africanus #FFFFFF
Phaenicophaeus_curvirostris #000000
Phaethon_aethereus #000000
Phaethon_rubricauda #000000
Phaethornis_longirostris #000000
Phalacrocorax_punctatus #000000
Phalaropus_fulicaria #000000
Phalaropus_lobatus #000000
Phapitreron_amethystinus #000000
Phascolarctos_cinereus #FFFFFF
Pheucticus_aureoventris #000000
Pheucticus_melanocephalus #000000
Philydor_atricapillus #000000
Phoebastria_immutabilis #000000
Phoenicopterus_chilensis #000000
Phoenicopterus_ruber #000000
Phyllastrephus_cerviniventris #000000
Phyllobates_bicolor #FFFFFF
Phyllobates_terribilis #FFFFFF
Physignathus_cocincinus #FFFFFF
Picoides_pubescens #000000
Picoides_villosus #000000
Piliocolobus_badius #FFFFFF
Pinicola_enucleator #000000
Pipistrellus_subflavus #000000
Pipra_erythrocephala #000000
Piranga_rubra #000000
Pithecia_pithecia #FFFFFF
Platalea_ajaja #000000
Platyrinchus_coronatus #000000
Plectrophenax_nivalis #000000
Plecturocebus_moloch #FFFFFF
Plegadis_chihi #000000
Plegadis_falcinellus #000000
Plethodon_cinereus #FFFFFF
Plethodon_shenandoah #FFFFFF
Plocepasser_mahali #000000
Ploceus_ocularis #000000
Ploceus_velatus #000000
Pluvialis_fulva #000000
Pluvialis_squatarola #000000
Podargus_strigoides #000000
Podiceps_grisegena #000000
Poecile_hudsonica #000000
Poecile_rufescens #000000
Poecilotriccus_sylvia #000000
Pogona_vitticeps #FFFFFF
Polyplectron_napoleonis #000000
