	faith_pd
11166.TS.159.antelope	74.78688149629512
11166.FD.0019.antelope	86.5027083961403
11166.TS.172.impala	71.3026864515504
11166.FD.0014.addax	98.6557047091883
11166.FD.0244.tortoise	52.7876135502991
11166.FD.0439.cougar	10.420584111790099
11166.TS.146.rhinoceros	74.34618518973906
11166.FD.0171.antelope	72.29982906424851
11166.TS.168.impala	78.27869833822004
11166.FD.0147.capuchin	13.118498258240002
11166.ZU.18208.tapir	46.08115484500499
11166.ZU.18190.lion	20.0027954797381
11166.SFM.18281.manatee	33.5981798803955
11166.TS.100.eland	67.73105841907368
11166.artic.squirrel.673	54.31747504852388
11166.artic.squirrel.9532	50.21930043332058
11166.artic.squirrel.8846	52.29533114978771
11166.artic.squirrel.9674	66.2253468389052
11166.artic.squirrel.659	55.684970528893885
11166.artic.squirrel.665	43.93772865596389
11166.artic.squirrel.9074	70.86992456461007
11166.artic.squirrel.8832	46.251047464261596
11166.artic.squirrel.648	45.822198291592905
11166.artic.squirrel.593	43.230580802943905
11166.artic.squirrel.8850	58.18136645169
11166.artic.squirrel.8840	50.978241246045684
11166.artic.squirrel.651	44.524430827616875
11166.Ostrich1.ACAD.4	41.584436736772105
11166.artic.squirrel.8851	42.77745386383289
11166.artic.squirrel.9525	51.807851878947815
11166.artic.squirrel.9540	61.87944338801061
11166.artic.squirrel.9592	50.87910673693359
11166.artic.squirrel.8852	56.5516292041126
11166.artic.squirrel.9569	55.49511520114071
11166.emu.ACAD.3	6.674891502760001
11166.cassowary.ACAD.2	13.084368714599101
11166.artic.squirrel.8844	54.18907645254869
11166.artic.squirrel.9555	57.079261726678716
11166.artic.squirrel.655	50.078793864909585
11166.Rhea.ACAD.5	46.197567760034495
11166.artic.squirrel.9561	60.28895465097659
11166.artic.squirrel.645	30.290118331573012
11166.artic.squirrel.9599	56.95328859489857
11166.artic.squirrel.8853	51.80306021618789
11166.Ostrich2.ACAD.6	38.9436239884551
11166.artic.squirrel.636	45.59838746099589
11166.artic.squirrel.8739	60.5583327971736
11166.fmnh.198	6.648111927839999
11166.fmnh.2570	46.54630773911211
11166.fmnh.1148	23.0790018150302
11166.fmnh.2577	21.75226463441
11166.fmnh.2553	21.056088246007505
11166.fmnh.1100	4.942418514770002
11166.fmnh.228	7.905599093439999
11166.fmnh.2843	17.66577671349
11166.fmnh.1062	3.3673519391799998
11166.fmnh.2579	5.4312703352801
11166.fmnh.2515	3.79005422791
11166.fmnh.2860	3.258146687870001
11166.fmnh.2566	6.937123342160101
11166.fmnh.239	8.765662660870204
11166.fmnh.1059	8.762658940840002
11166.fmnh.2814	11.798509837880097
11166.fmnh.2855	8.68986336689
11166.fmnh.2527	3.2595298772000003
11166.fmnh.2839	4.5811884482401
11166.fmnh.1057	10.8015683403602
11166.fmnh.2797	18.148695869792203
11166.fmnh.1108	8.221213704580101
11166.fmnh.1064	6.8368828433601
11166.fmnh.1147	20.113578766930306
11166.fmnh.2578	19.000953091950198
11166.fmnh.1095	8.271060725110203
11166.fmnh.2827	50.507315728951205
11166.fmnh.229	10.042608797370207
11166.fmnh.2539	19.307747581635105
11166.fmnh.2571	10.6534490543801
11166.fmnh.1149	10.687808351080102
11166.fmnh.2555	13.5292529923402
11166.fmnh.199	4.3520769802701
11166.fmnh.1072	29.016253333785603
