	shannon
11166.FD.0198.meerkat	4.414615970880223
11166.ZU.18257.anteater	5.469154839545836
11166.FD.0093.caracal	4.166767585827675
11166.TS.124.pangolin	2.418586831947829
11166.TS.059.wildebeest	7.830884751759336
11166.FD.0480.saki	6.085616763739396
11166.ZU.18234.redpanda	8.093207061229593
11166.FD.0488.squirrel	6.833850277502653
11166.TS.005.jackal	4.672260764811783
11166.TS.051.springbok	6.88796309202666
11166.FD.0487.panda	2.268208626713732
11166.ZU.18268.orangutan	5.685798506103662
11166.TS.119.pangolin	0.5169691768108842
11166.FD.0457.lechwe	7.198150656420192
11166.FD.0229.gibbon	5.218742959304275
11166.FD.0271.lion	4.5943238948814304
11166.FD.0090.aardvark	4.639041702417119
11166.ZU.18228.gorilla	6.367322559777029
11166.TS.131.steenbok	5.715434375833017
11166.FD.0034.rhinoceros	7.021840013393876
11166.FD.0486.gorilla	3.618313256510958
11166.ZU.18252.tamandua	5.18134626262594
11166.ZU.18230.mousedeer	2.552962419040331
11166.ZU.18255.elephant	7.347935778674669
11166.TS.200.mongoose	4.601361927586382
11166.ZU.18200.redpanda	8.162280550643208
11166.ZU.18193.pitviper	2.8446928216203675
11166.FD.0299.deer	8.269264952124914
11166.TS.145.kudu	7.344129391672733
11166.FD.0438.lion	4.886360058908684
11166.FD.0496.deer	7.269261543285026
11166.ZU.18254.sloth	5.592899863201024
11166.ZU.18227.monitor	4.249876815576321
11166.FD.0088.aardvark	3.403406684642391
11166.TS.057.warthog	6.165418132857941
11166.FD.0065.deer	8.383798310087355
11166.FD.0048.dromedary	7.427185833757081
11166.TS.126.pangolin	5.319508254105331
11166.ZU.18248.hyrax	6.578322159248946
11166.TS.174.aardvark	5.385314943380861
11166.FD.0460.okapi	7.128205111583681
11166.SFM.18277.manatee	5.7432166489859755
11166.FD.0277.monkey	1.8651317531644325
11166.TS.151.zebra	6.551879826862391
11166.ZU.18236.gecko	6.490371837408392
11166.FD.0024.elephant	7.038510158434186
11166.TS.056b.chat	8.060046478734792
11166.TS.123.pangolin	4.181796263110781
11166.TS.043.chat	4.39075309485771
11166.FD.0139.loris	5.303977316760414
11166.ZU.18239.elephant	7.667790854040166
11166.TS.056.chat	1.3009757111457465
11166.TS.085.porcupine	6.408139104418226
11166.TS.207.wilddog	5.333471287808845
11166.FD.hippo.antelope	7.408299264635288
11166.TS.086.baboon	6.2595121159553555
11166.FD.0125.wolf	3.4914481928085666
11166.FD.0428.springbok	7.664812622099952
11166.TS.150.zebra	7.883092871128973
11166.FD.0259.monkey	4.235063854708193
11166.ZU.18195.wolf	4.161753795457397
11166.FD.0425.lutung	6.5171107146418015
11166.TS.115.pangolin	1.596170307479617
11166.FD.0013.addax	8.172300191658847
11166.FD.0020.antelope	8.24543560242505
11166.ZU.18242.sloth	6.411874192592338
11166.TS.182.giraffe	7.029759279441157
11166.TS.166.giraffe	7.430552576431966
11166.FD.0282.otter	1.5888597801491338
11166.FD.0174.antelope	7.139209128345444
11166.TS.129.pangolin	5.873436139660548
11166.TS.161.antelope	7.207871623806111
11166.TS.042.warthog	6.913333901625282
11166.TS.152.eland	7.77376920655792
11166.FD.0458.elephant	7.003232967184399
11166.TS.114.pangolin	1.6575227747498624
11166.FD.0031.rhinoceros	7.096617439308984
11166.FD.0087.aardvark	3.8187883833132803
11166.FD.0241.wallaby	6.550557667693142
11166.FD.0316.mangabey	6.939777392942667
11166.TS.135.aardvark	4.449404745257464
11166.ZU.18199.gorilla	7.042583846699434
11166.TS.153.eland	7.76258249150949
11166.TS.088.wildebeest	7.324133548112529
11166.TS.015.flycatcher	7.502224378366077
11166.TS.209.wilddog	4.952060282253139
11166.TS.065.baboon	6.1050392726456035
11166.TS.155.hartebeest	7.538448071070778
11166.TS.061.gemsbok	7.919520792876514
11166.ZU.18231.monitor	5.1233627360709315
11166.FD.0045.ass	7.120587368379078
11166.ZU.18240.elephant	7.731272979588763
11166.ZU.18223.gecko	5.116401338499379
11166.FD.0099.wolf	2.704552956223755
11166.FD.0084.mousedeer	3.0835300777363397
11166.TS.006.rhino	5.663065659422797
11166.TS.040.warthog	6.368065576092403
11166.FD.0499.fox	4.982669792316309
11166.TS.067.porcupine	5.655634361124295
11166.TS.208.wilddog	4.80942701835646
11166.FD.0456.mongoose	4.608681963327039
11166.ZU.18269.anteater	4.193755338051605
11166.FD.0500.meerkat	2.9300267746035487
11166.FD.0089.aardvark	4.14341308215131
11166.FD.0313.mangabey	6.726880655550228
11166.FD.0077.eland	6.922585856915658
11166.TS.127.pangolin	6.594852054990438
11166.TS.175.aardvark	5.376280222643962
11166.TS.098.rockrabbit	5.4708349140904105
11166.TS.176.zebra	8.548054375364721
11166.TS.142.kudu	7.241048434564815
11166.ZU.18245.elephant	7.663997047786703
11166.TS.210.wilddog	4.808890616539064
11166.TS.170.impala	7.00069492932732
11166.TS.159.antelope	7.384440104631247
11166.FD.0019.antelope	8.092378008774002
11166.TS.172.impala	7.382054154615434
11166.FD.0014.addax	8.048585321984099
11166.FD.0244.tortoise	6.059441862337497
11166.FD.0439.cougar	3.888628627310644
11166.TS.146.rhinoceros	7.193105833351649
11166.FD.0171.antelope	6.648777378134178
11166.TS.168.impala	7.8502189995558345
11166.FD.0147.capuchin	3.9077424245366323
11166.ZU.18208.tapir	5.191176708335974
11166.ZU.18190.lion	3.118468734934113
11166.SFM.18281.manatee	4.994068693649533
11166.TS.100.eland	7.153575134520866
11166.artic.squirrel.673	7.65591849574118
11166.artic.squirrel.9532	6.640029455274629
11166.artic.squirrel.8846	6.729210716132224
11166.artic.squirrel.9674	8.056539380161327
11166.artic.squirrel.659	7.302063383283367
11166.artic.squirrel.665	6.5675185382537835
11166.artic.squirrel.9074	8.127750983900162
11166.artic.squirrel.8832	6.3139798633458435
11166.artic.squirrel.648	6.600019746418147
11166.artic.squirrel.593	6.392595314814032
11166.artic.squirrel.8850	7.000851567094695
11166.artic.squirrel.8840	6.761615678510802
11166.artic.squirrel.651	6.81873600154084
11166.Ostrich1.ACAD.4	5.614649813505474
11166.artic.squirrel.8851	5.311163385839146
11166.artic.squirrel.9525	6.7176973618421245
11166.artic.squirrel.9540	7.110260842716289
11166.artic.squirrel.9592	6.88624195120493
11166.artic.squirrel.8852	7.281436127860457
11166.artic.squirrel.9569	7.188652535507846
11166.emu.ACAD.3	1.2010987900700414
11166.cassowary.ACAD.2	3.5560113230573194
11166.artic.squirrel.8844	6.9910266055446915
11166.artic.squirrel.9555	7.123999561277476
11166.artic.squirrel.655	6.963822917961304
11166.Rhea.ACAD.5	5.760865388683285
11166.artic.squirrel.9561	7.622626997721189
11166.artic.squirrel.645	5.320057867078989
11166.artic.squirrel.9599	6.9667450586064605
11166.artic.squirrel.8853	6.629713582113341
11166.Ostrich2.ACAD.6	5.2180795265854405
11166.artic.squirrel.636	6.8447695503028045
11166.artic.squirrel.8739	7.283551180817131
11166.fmnh.198	3.481248737406143
11166.fmnh.1107	3.643492172515927
11166.fmnh.2570	6.621405356484826
11166.fmnh.1148	5.008889453830978
11166.fmnh.2577	4.083623103388431
11166.fmnh.2553	5.246340380466993
11166.fmnh.1100	3.767814332615065
11166.fmnh.228	3.0779052844409565
11166.fmnh.2843	0.8588933803762385
11166.fmnh.1062	1.443048918337893
11166.fmnh.2579	0.195211666759472
11166.fmnh.2515	0.07684707225719964
11166.fmnh.2860	1.5605856005459735
11166.fmnh.2566	2.0856941948638603
11166.fmnh.239	1.738369212564438
11166.fmnh.1059	4.741402742786968
11166.fmnh.2814	0.762021784534538
11166.fmnh.2855	0.444674255862718
11166.fmnh.2527	1.3758727007662424
11166.fmnh.2839	1.2280847903096994
11166.fmnh.1057	4.732371966329312
11166.fmnh.2797	0.9999650344815052
11166.fmnh.1108	2.746794316227308
11166.fmnh.1064	0.11231185906806285
11166.fmnh.1147	3.9109144363829067
11166.fmnh.2578	4.063511018266062
11166.fmnh.1095	4.053733700860815
11166.fmnh.2827	6.558119129781875
11166.fmnh.229	2.680946352386036
11166.fmnh.2539	4.734585732357952
11166.fmnh.2571	0.564135645395012
11166.fmnh.1149	4.974613369948142
11166.fmnh.2555	0.3334310545479487
11166.fmnh.199	2.31182578906342
11166.fmnh.1072	6.289550112882157
11166.fmnh.1083	2.2225703418102283
11166.fmnh.2505	0.8892066609056016
11166.fmnh.2791	1.3138528708343418
11166.fmnh.2815	2.033680360254442
11166.fmnh.1133	2.332044290067794
11166.fmnh.1117	5.238774544346736
11166.fmnh.1110	3.7471633019975155
11166.fmnh.238	3.349507418082637
11166.fmnh.1071	3.780812573770957
11166.fmnh.1087	4.898804383693541
11166.fmnh.1139	1.4580784584884292
11166.fmnh.235	2.3966809374339975
11166.fmnh.2857	0.8055261782398124
11166.fmnh.2818	3.6197598969846116
11166.fmnh.1078	4.730988666088306
11166.fmnh.2816	1.349174369629098
11166.fmnh.2563	0.2775165651231155
11166.fmnh.285	5.308154145997949
11166.fmnh.2859	1.3588886646953269
11166.fmnh.2540	2.5626125184680983
11166.fmnh.1137	3.5881659060849715
11166.fmnh.2564	1.464781504084979
11166.fmnh.1089	5.32660178038771
11166.fmnh.1091	3.719722119225122
11166.fmnh.1144	3.571440408561004
11166.fmnh.1143	4.14797832925631
11166.fmnh.1096	3.996139837524685
11166.fmnh.2534	3.9611405906411825
11166.fmnh.2824	3.3737501256853912
11166.fmnh.1102	1.691899909499558
11166.fmnh.2575	1.8088581729953688
11166.fmnh.209	2.5727564095120847
11166.fmnh.262	1.8779285583818128
11166.fmnh.1105	4.641342984069088
11166.fmnh.2823	1.6290729027210518
11166.fmnh.275	3.7129674507335766
11166.fmnh.1088	1.6637330737582767
11166.fmnh.1136	3.709073715604894
11166.fmnh.1112	4.025124749472977
11166.fmnh.1115	3.6580631682384133
11166.fmnh.2858	1.5606209277212792
11166.fmnh.1131	2.6729391260798967
