	observed_otus
11166.fmnh.1263	29
11166.fmnh.2713	144
11166.fmnh.935	50
11166.fmnh.953	54
11166.fmnh.2775	213
11166.fmnh.1298	78
11166.fmnh.2783	275
11166.fmnh.1160	15
11166.fmnh.402	25
11166.fmnh.387	64
11166.fmnh.986	200
11166.fmnh.2675	100
11166.fmnh.1044	36
11166.fmnh.970	45
11166.fmnh.2772	58
11166.fmnh.1321	85
11166.fmnh.289	52
11166.fmnh.931	12
11166.fmnh.444	86
11166.fmnh.1267	173
11166.fmnh.915	34
11166.fmnh.1021	19
11166.fmnh.187	25
11166.fmnh.180	73
11166.fmnh.1198	219
11166.fmnh.1260	35
11166.fmnh.936	32
11166.fmnh.1314	185
11166.fmnh.2664	555
11166.fmnh.945	13
11166.fmnh.430	89
11166.fmnh.1214	97
11166.fmnh.929	24
11166.fmnh.2764	15
11166.fmnh.1155	24
11166.fmnh.990	29
11166.fmnh.396	100
11166.fmnh.2608	86
11166.fmnh.2740	69
11166.fmnh.1171	41
11166.fmnh.1313	310
11166.fmnh.2725	315
11166.fmnh.398	59
11166.fmnh.1189	153
11166.fmnh.1255	18
11166.fmnh.2701	53
11166.fmnh.2649	40
11166.fmnh.1271	30
11166.fmnh.1013	28
11166.fmnh.455	25
11166.fmnh.1014	53
11166.fmnh.2625	24
11166.fmnh.2706	116
11166.fmnh.1280	40
11166.fmnh.2632	112
11166.fmnh.1261	38
11166.fmnh.429	66
11166.fmnh.2735	201
11166.fmnh.978	31
11166.fmnh.1199	29
11166.fmnh.1027	90
11166.fmnh.1020	110
11166.fmnh.2611	40
11166.fmnh.989	84
11166.fmnh.170	55
11166.fmnh.914	78
11166.fmnh.1266	144
11166.fmnh.2635	39
11166.fmnh.336	72
11166.fmnh.955	42
11166.fmnh.1320	301
11166.fmnh.1203	118
11166.fmnh.2785	146
11166.fmnh.2650	25
11166.fmnh.1268	22
11166.fmnh.420	66
11166.fmnh.1166	9
11166.fmnh.1304	90
11166.fmnh.1190	208
11166.fmnh.188	161
11166.fmnh.386	97
11166.fmnh.1197	49
11166.fmnh.2673	9
11166.fmnh.179	72
11166.fmnh.976	24
11166.fmnh.1303	53
11166.fmnh.427	40
11166.fmnh.2657	132
11166.fmnh.1299	22
11166.fmnh.2723	152
11166.fmnh.368	42
11166.fmnh.1253	33
